"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif"
"OVCH1",-0.711646257698874,-8.09693137996219,-2.46869669884895,0.0138772065095473,0.026775617811368,-4.79359333828851,FALSE
"NRXN3",0.68443472037448,-2.64067958412098,2.46847873404241,0.013885561456647,0.0267903144532417,-4.79412541026715,FALSE
"GOT2P6",-0.150254752401969,-9.9008427221172,-2.46839478936884,0.0138887803808731,0.0267951007975167,-4.79433031463058,FALSE
"ZNF329",0.28698749445676,1.12709357277883,2.46816049410875,0.0138977681117506,0.0268110155829653,-4.79490218054331,FALSE
"ZNF431",0.380141800936192,-0.63838752362949,2.46766046322319,0.0139169668724694,0.0268466263384797,-4.79612247436224,FALSE
"CARM1",0.246151613697948,3.42277939508507,2.4673560178469,0.0139286675954228,0.0268677699336545,-4.79686533576753,FALSE
"NEXMIF",-0.577124927321925,-8.53365047258979,-2.46728477668634,0.0139314068579576,0.0268716259484973,-4.79703915470599,FALSE
"HOXB6",0.400634538063562,-1.50251172022684,2.46709577235818,0.0139386764915239,0.0268842195058078,-4.79750027631786,FALSE
"BAAT",0.464499623059854,6.99106748582231,2.4670083385872,0.0139420405741861,0.0268892792946302,-4.79771358039828,FALSE
"CDH12P2",1.33210323478694,-7.1428775047259,2.46639165140157,0.0139657885164341,0.0269336497335746,-4.79921784528006,TRUE
"IFI16",0.33501387533875,3.37436597353497,2.46584032995008,0.0139870496064239,0.0269732197069058,-4.80056235455824,FALSE
"PLAAT3",-0.304480736634654,5.56767939508507,-2.46544702186655,0.0140022345952606,0.0270010686875195,-4.80152133666407,FALSE
"AGPAT4",0.391937408228628,-1.30219754253308,2.46529106311772,0.0140082599496442,0.0270112527585272,-4.80190156116977,FALSE
"AQP2",-0.404686134515792,-9.46008865784499,-2.46475381561432,0.0140290336959766,0.0270498726402319,-4.80321118057778,FALSE
"RPL15P18",-0.822485666420266,-7.06015765595463,-2.4646654677202,0.0140324524530751,0.0270550274324984,-4.80342651479479,FALSE
"CUL9",0.172448982508001,3.76742381852552,2.4646130803119,0.0140344800123508,0.0270574995447632,-4.80355419737228,FALSE
"ELAVL4",0.637113508253274,-5.78548449905482,2.46339185561926,0.0140818188291611,0.0271473237024629,-4.80652990763318,FALSE
"SNORA14B",0.727350135501485,-9.35895576559546,2.46302550796044,0.0140960472377613,0.0271733105399592,-4.80742229158227,FALSE
"TICAM2",0.317348233555063,0.0584669187145558,2.46299265269061,0.0140973239100114,0.0271743285501978,-4.80750231718939,FALSE
"VLDLR",-0.643957723577235,-0.799860491493384,-2.46253707081488,0.0141150372138479,0.027205583832425,-4.80861187081365,FALSE
"RPL23AP40",-0.219853141167649,-9.87049508506616,-2.46255119658123,0.0141144876995965,0.027205583832425,-4.80857747101986,FALSE
"CFAP418",0.306782079329885,-0.96175595463138,2.46246998546801,0.0141176471965239,0.0272091696777815,-4.80877523787325,FALSE
"LOC124904411",-0.675936925351063,-5.88510586011342,-2.46229765727734,0.0141243536526117,0.0272206499226725,-4.80919487366216,FALSE
"RPH3A",-0.624740130574,-6.8200347826087,-2.46194281863769,0.0141381717055369,0.0272445266515205,-4.81005884963931,FALSE
"LOC728307",0.446166208425822,-9.34286748582231,2.4619409646547,0.0141382439343639,0.0272445266515205,-4.81006336347514,FALSE
"MTERF4",-0.15492272234541,3.4955965973535,-2.46191727604706,0.0141391668412317,0.0272448588302752,-4.81012103711389,FALSE
"ARIH1",0.222281177629956,3.89174291115312,2.4617984897332,0.0141437955535777,0.0272523313370714,-4.81041023288854,FALSE
"PURA",0.207791527469818,0.841211153119093,2.46158085860472,0.0141522794026099,0.0272671915699196,-4.8109400397198,FALSE
"LOC124900637",0.56622350086238,-9.28926162570889,2.46156211709051,0.014153010207995,0.0272671915699196,-4.81098566240481,FALSE
"RBP1",-0.565966644493728,5.25210926275992,-2.46143509739429,0.0141579640859706,0.0272752881327188,-4.81129485897552,FALSE
"SNPH",0.411604932249332,-2.88708733459357,2.46119362274608,0.0141673860374844,0.0272919911137083,-4.81188262350429,FALSE
"LOC105372791",0.924744345898009,-2.89687088846881,2.46101866657702,0.0141742160110996,0.0273036994119887,-4.81230844265394,FALSE
"ZNF251",-0.22146565656566,1.94856994328922,-2.4609627264578,0.0141764004272143,0.02730645823561,-4.81244458693625,FALSE
"XRRA1",0.208481421532395,1.67814404536862,2.46059539323848,0.0141907518923114,0.0273317486855333,-4.8133385091426,FALSE
"C5orf58",-0.955226420300565,-2.71702344045369,-2.46058812369418,0.0141910360382615,0.0273317486855333,-4.81335619859561,FALSE
"RGMB",-0.299223269278149,0.963261247637051,-2.46043004576499,0.0141972161030801,0.027342200740512,-4.81374084723012,FALSE
"LINC01873",0.446239317565972,-9.20912438563327,2.46036353896987,0.0141998169013202,0.0273457587976034,-4.8139026699916,FALSE
"C1QTNF6",-0.266101106183795,2.41471436672968,-2.45968614594303,0.0142263308886849,0.0273953656352528,-4.81555064319439,FALSE
"MARCHF6-DT",0.228205575264843,1.22560075614367,2.45934872071429,0.0142395544595847,0.0274193754740814,-4.81637137152865,FALSE
"LINC03021",-0.387699993840783,-9.13773733459357,-2.45928894816512,0.0142418980573711,0.0274224336381811,-4.81651674641315,FALSE
"EPC1",-0.185627270263616,2.59363988657845,-2.45904444104856,0.0142514883919845,0.0274379888685988,-4.81711138467852,FALSE
"MTND5P11",0.493800603596946,-3.60566275992439,2.45904779772843,0.014251356693819,0.0274379888685988,-4.81710322166608,FALSE
"MGRN1",-0.212624252278889,4.16238884688091,-2.45884828284149,0.0142591864612061,0.0274513538252145,-4.81758839722785,FALSE
"TRPC7",0.4608699852181,-9.38156805293006,2.45875248719443,0.0142629472202517,0.0274571377760173,-4.81782133713618,FALSE
