"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_HEMATOPOIETIC_STEM_CELL_HOMEOSTASIS",0.0133194588969823,0.122104819227402,0.180467893079923,0.616531116878815,1.58437882718076,29,"P2RY14;SOX4;EMCN;ADGRG1;NLE1;CCN3;OCIAD2;ZNHIT1;GLIS2;EXT1;MTCH2;MYCT1;CRISPLD1;ADAR;UBAP2L;OCIAD1"
"GOBP_EMBRYONIC_ORGAN_DEVELOPMENT",0.0134575569358178,0.12309967465247,0.200513180400413,0.327833811650639,1.23690594330007,470,"HOXD9;E2F8;SIX2;SIX1;TIFAB;HOXD3;VAX2;COL2A1;TBX4;STRA6;HOXC9;DLX5;WNT3A;CTHRC1;OTX1;ALX3;LEF1;IRX5;HOXD10;GBX2;E2F7;COL11A1;FOLR1;GJA5;HOXA7;HOXB8;CITED1;HOXB7;GSC;CIMAP3;HOXD4;EPHB2;PLK4;GDF3;SOX9;MSX1;SOX11;DLX6;PDGFB;HOXA11;FLVCR1;MESP1;FZD2;SPARC;FOXC2;DLX2;NKX3-2;TGFB2;SHOX2;MYCN;DNAAF19;ST14;ATP8A2;OSR2;FOXC1;PCDH12;KCNQ1;HOXB9;NES;RPL38;MYO3B;PTK7;PDGFA;VASH2;FRZB;MMP14;TUBB2B;FOXN4;STIL;APELA;SOX18;MDFI;MTHFD1L;HOXD11;LMO2;RAC1;SLC39A1;SLC39A3;MAPK3;IFT52;PRRX1;MKKS;DNAAF1;FOXF2;SIX4;KITLG;KRT8;HEY1;HOXA5;FBN3;TFAP2A;BMP4;POU4F3;CLUAP1;ALX1;STOX1;USH1G;TEAD4;HOXA3;PSEN1;HMX2;CSF2;SMAD2;RPL10;PPIL1;MFAP2;TRIM28;CDC42;CCDC134;BBS7;TMIE;SMO;DCANP1;PLS1;SOX17;KDR;SLC44A4;CHST11;GCM1;NSDHL;EIF4A3;ADA;PDZD7"
"GOBP_METALLO_SULFUR_CLUSTER_ASSEMBLY",0.0135275754422477,0.123468791646129,0.179054499269993,0.615194207561233,1.58094320039949,29,"BOLA2B;BOLA2;BOLA3;LYRM4;BOLA1;NFU1;ISCA2;CIAO2B;GLRX3;FDX2;ISCA1;HSPA9;GLRX5;NUBPL;NUBP1;HSCB;NDUFAB1;ISCU;CIAO1;CIAPIN1"
"GOBP_SPERM_DNA_CONDENSATION",0.0136121522982837,0.123968879355485,0.173713219262156,-0.699495037923648,-1.61167891303527,19,"PRM1;TNP1;CHD5;SYCP1;H1-7;SYCP3;CCER1;BRDT;PIWIL1;TNP2"
"GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT",0.0136670216542421,0.124021423034421,0.164313492356652,-0.400760785066672,-1.34593100839005,187,"NPPA;SLC5A1;SLC6A19;SCN7A;SLC28A3;ATP4A;SLC34A2;ATP4B;SLC6A13;TRPV3;SCN11A;SLC13A5;KCNK3;SLC17A8;SLC13A4;SLC8A2;FXYD7;SLC5A12;SCN3A;SLC6A20;SLC34A1;SLC6A16;UNC79;ASIC3;SCN9A;SCNN1A;GRIN1;SCN3B;SLC24A3;SCNN1D;NOS1;FXYD1;WNK2;SLC17A3;SLC5A6;NALCN;SLC4A10;SLC24A4;SLC9A5;PTPN3;HCN1;SLC17A2;CAV3;SCN2B;MCOLN3;SLC5A3;SLC9A2;ATP1A2;SLC8A3;SCN2A;SLC4A4;SLC4A5;SLC9B2;SLC38A2;SLC17A7;SCN8A;SLC38A4;SCNN1G;SLC17A1;SCN5A;FXYD2;ATP1B2;SLC9A8;SLC8B1;DMD;PKD2;TPCN1;SLC13A3;PRKCE;SLC5A10;PCSK9"
"GOBP_DETECTION_OF_TEMPERATURE_STIMULUS",0.0136775187825082,0.124021423034421,0.171214318379654,-0.638839384442767,-1.59906551308746,28,"NTSR1;TAC1;NGFR;SCN11A;TRPV1;NTRK1;EPHB1;CXCL12;HTR2A;ANO3;ASIC3;SCN9A;CARTPT;GRIK2"
"GOBP_PROTEIN_POLYUBIQUITINATION",0.0137505926979611,0.124318592529534,0.189706833450518,0.356933731339324,1.29024935088696,282,"CDKN2A;TRIM71;UBE2C;NQO1;DTL;UBE2L5;UBE2T;TRIM31;IFI27;UBE2S;IL17B;MKRN3;PPIA;ANAPC11;RIPK2;UBE2Q2;RNF187;NHLRC1;PRAME;SHARPIN;FOXF2;UBE2U;RNF20;FBXO22;RNF144A;HLTF;RNF5;PRPF19;UBE2Q1;FBXO45;TRIM6;UBE2A;UBE2N;UBE2D2;IL17F;RBX1;TRIM45;TRAF2;SKP1;BARD1;PRKN;TRIM26;UBE2V1;RUSC1;NEDD4L;RNF8;CTNNB1;STUB1;FBXL7;CDC23;FBXO7;CUL4B;RNF7;ANAPC13;UBE2L3;WSB2;UBE2E1;IRF2BP1;UBE2V2;NFE2L1;RNF25;GABARAP;RNF26;BFAR;NBN;FBXL17;NMI;PELI3;PEX12;UBE2E3;TRIM32;DTX3L;DZIP3;MKRN1;UBOX5;RNF14;IL17RE;ZNRF1;UBE2H;BCL2;ANAPC15;ZNF738;AMBRA1;KCMF1;DDA1;RNF216;UBE2R2;SKP2;RNF213;TRIM21;NEDD4;CUL1;RNF115;ANAPC10;RNF170;PLAA;UBE2J1;TRIM8;BRCA1;TRAF3IP2;FBXO4;UBE2K;BLMH;FBXW11;KBTBD2;MID2;RMND5A;PEX10;CDC34;IL17RB;ANAPC16;CDC26;ZNRF2;ERCC8;UBE2W;AXIN1;CDC27;AMFR;MARCHF8;MARCHF6;TRIP12;RNF34;IL25;WWP2;RNF114;THOP1;CEP63;RC3H2;RFFL;UBE3A;ZFP91;WDR24;ASB11;MDM2;TRIM62;CUL3;MUL1;MKRN2;SMURF1;DCAF15"
"GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS",0.013771186440678,0.124318592529534,0.16324176812788,-0.400003250212726,-1.34299649647231,185,"PNLIP;PLP1;PNLIPRP1;PNLIPRP2;CYP1A2;PTGS2;APOA4;AVPR1A;CYP2E1;GSTM2;ACSBG1;ACADL;PTGIS;CYP2C8;CYP3A4;OLAH;ACSM5;MLXIPL;TECRL;LIPG;FADS6;CYP2C9;ACSM2A;ACSL1;CYP1A1;GSTM1;ACACB;ACADVL;PLA2G4F;ALOX12;ALOX12B;PRKAG3;APOA5;ACSBG2;SLC45A3;ALOX5;ACSM3;HACD1;ACSM2B;PRKAG2;PLA2G4A;AVP;EDN2;MGLL;ABHD1;KIF12;ALOXE3;PTGDS;FABP1;PRKAA1;FA2H"
"GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",0.0137999014292755,0.124318592529534,0.193113963346815,0.337976619545362,1.25066628402025,367,"RNU4-1;RBM24;PABPC1;SNRPE;SNRPB;NPM1;PRPF6;SF3B4;SNRPD1;SNRPC;SNRPD2;LSM8;H1-2;LSM2;SCNM1;HNRNPA1L3;CTNNBL1;RBMY1A1;PPIH;ZCRB1;HTATSF1;GPKOW;SNU13;SNRPB2;UBL5;CRNKL1;RBMY1E;MAGOHB;RBM8A;RBM42;ZMAT5;CRIPT;BUD31;RALY;CD2BP2;GEMIN6;HNRNPA1;EFTUD2;RNVU1-6;KHDRBS1;ZMAT2;CWC27;IK;RSRC1;SF3B6;SNRPD3;SNRPF;LSM4;PUF60;SNRPG;HNRNPA3;LSM7;WDR70;DDX41;PRPF19;LSM3;CDC5L;HMX2;PPIL1;DHX9;SNRNP35;HNRNPUL1;NKAP;SART1;AAR2;HNRNPU;PRDX6;YJU2;MAGOH;EIF4A3;SLU7;ESS2;HNRNPC;RBMY1D;RBMY1J;FRG1;PRPF31;SYF2;SNRPN;RBM15B;DHX8;PRPF18;KHDRBS3;KIN;PHF5A;RNF113A;SDE2;RBMX2;DDX1;RBM3;NCL;SF3A3;USP39;MFAP1;TFIP11;SF3A1;SNRPA;PSIP1;ARMC7;HNRNPL;SMU1;CLNS1A;SF3B5;GEMIN5;PRPF38A;TXNL4A;CWF19L1;GEMIN7;LSM5;COIL;PQBP1;SYNCRIP;SAP18;SNW1;RBMX;RBMY1F;SNRNP27;SNRNP25;HNRNPR;DDX39A;PRMT5;SNRPA1;WDR83;SF3A2;NCBP2L;XAB2;BUD13;TGS1;NCBP2;SF3B2;SRSF9;SNRNP40;HSPA8;DNAJC17;RNPS1;CWC15;BCAS2;ISY1;DHX40;PCBP4;SAP30BP;HNRNPA2B1;KHSRP;SF3B3;SNRNP200;TSSC4;HNRNPK;ARB2A;HNRNPF;C1QBP;FAM32A;LSM6;STRAP;GEMIN2;NOVA2;RBM4;RBM22"
"GOBP_ICOSANOID_METABOLIC_PROCESS",0.0138588912886969,0.124555498440284,0.164313492356652,-0.431426290586389,-1.38788741440806,129,"CPA1;CYP1A2;CYP2C19;CYP2A7;CAMP;PTGS2;AVPR1A;CYP2E1;PTGIS;GGT6;CYP2C8;HPGD;PLA2G4B;CYP2A6;CYP4Z1;CYP2B6;CYP2C9;CYP1A1;GSTM1;CYP4F2;PLA2G4F;ALOX12;ALOX12B;CYP4A22;CYP4F3;PRG3;PLA2G5;GGT5;ALOX5;CYP4F12;CYP4A11;PLA2G4A;FAAH2;AVP;EDN2;NAIP;MGLL;CYP2C18;ALOXE3;PTGDS;FABP1"
