gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation
CASP8,-0.044007272727276,9.51799054820416,-0.423134767572759,0.672369308310655,0.720084930089093,-7.85595371081635,NS
MAP3K5,0.101461818181813,9.01799054820416,0.419319088080165,0.675153624007058,0.720084930089093,-7.85756145652449,NS
SOD2,-0.0843818181818268,14.9843100189036,-0.418257871352974,0.675928778715705,0.720084930089093,-7.85800602861633,NS
CASP7,0.0446636363636284,9.75614366729679,0.397621586353759,0.691069922689761,0.732534118051147,-7.866427351346,NS
POU2F3,0.118523636363634,3.14986559546314,0.372581503442189,0.709609564673616,0.7466013818472,-7.87607396202976,NS
IFNA8,0.005504,0.00484536862003781,0.366443494301428,0.714181031255354,0.7466013818472,-7.87834298435527,NS
AKT3,-0.0716163636363696,8.26653686200378,-0.365471383325991,0.714906040165008,0.7466013818472,-7.87869884592974,NS
CYCS,-0.0341272727272646,12.2231947069943,-0.287540501994228,0.773811367517857,0.804156911342087,-7.90415541434717,NS
TICAM1,0.0314927272727275,10.1579073724008,0.270382620161479,0.786971613653002,0.813843815094812,-7.9089442675725,NS
IFNA17,-0.00558545454545455,0.0126359168241966,-0.248606793432952,0.803761665774313,0.827172199728904,-7.9145979998999,NS
SRC,-0.0445927272727218,9.66358412098299,-0.2047751613743,0.837826768887318,0.858064130454645,-7.92453982920859,NS
LBP,0.0518727272727233,14.4150807183365,0.15871394992844,0.873954980470017,0.890761807017517,-7.93291622159115,NS
IL12A,-0.0254618181818187,2.64911228733459,-0.105440631303162,0.916066251739676,0.929215528080437,-7.93995684067039,NS
PIK3R1,0.0100909090909127,11.8605973534972,0.0599058974765285,0.952253267152762,0.96132234588755,-7.94372378962418,NS
PIK3CD,-0.00793454545454253,8.03392438563327,-0.041251687391744,0.967110854095735,0.971694317859222,-7.94466791799147,NS
NOX1,-0.00104036363636362,1.55434933837429,-0.00400885949030621,0.996802916793817,0.996802916793817,-7.94551129090888,NS
