gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation
TNFRSF1A,-0.660254742547389,12.6896219281664,-8.67690972745399,5.05731922617733e-17,5.36075837974797e-16,27.4256891703805,NS
CXCL2,-2.2639467208672,10.5084593572779,-8.62794505264203,7.36950976365664e-17,7.43969557092956e-16,27.0540722870932,Down
NFE2L2,-0.823294850948521,11.7358941398866,-8.61398294338799,8.19536007531541e-17,7.89734698166758e-16,26.9492107884692,NS
CYP2C9,-3.07628292682926,13.4710207939509,-8.56635303400125,1.17976858833351e-16,1.0874388727248e-15,26.5896794962511,Down
IL1B,-2.04841869918699,5.20806616257089,-8.36019994542559,5.59729711438004e-16,4.94427911770237e-15,25.0537031432901,Down
HRAS,0.913960108401094,9.70604914933837,8.34351474278686,6.33747959895911e-16,5.37418269991732e-15,24.9311958746051,NS
JUN,-1.47009647696476,12.5811833648393,-8.2915556967519,9.34181215901198e-16,7.54458506661787e-15,24.5486063762925,Down
PTK2,0.7208460704607,11.3416446124764,8.28769099739537,9.60866966031521e-16,7.54458506661787e-15,24.5208096886197,NS
HSPA4,0.682411924119254,12.1312098298677,8.20916213253402,1.71948037489489e-15,1.30189228384899e-14,23.9471003129003,NS
MAPK12,1.5821962601626,7.98839319470699,8.04394868666956,5.77373247789956e-15,4.22079753556796e-14,22.7534488175464,Up
CCL3,-1.67738997289973,7.26692438563327,-7.91729286619532,1.44244798029899e-14,1.01932990607795e-13,21.85161976213,Down
RXRB,0.589505203252051,10.9233686200378,7.84832047911642,2.3627848718412e-14,1.61583997687205e-13,21.3656973075988,NS
MAPK11,1.24239300813009,7.96075236294896,7.82202571334656,2.85128859542327e-14,1.88897869446792e-13,21.1807180560814,Up
ABCA1,-0.963084010840099,11.68995463138,-7.81328865966864,3.03358598032106e-14,1.94884917523656e-13,21.1197028572854,NS
CYP2A7,-4.51645842818428,8.27927599243856,-7.79786931919052,3.3856946012247e-14,2.11108016311658e-13,21.0116221901399,Down
TAB2,-0.764008672086712,11.063763705104,-7.60612450664551,1.30433184207904e-13,7.90052430059302e-13,19.6845802218901,NS
CYP2A6,-4.38900271002711,12.8688332703214,-7.57024775095975,1.67477229060223e-13,9.86254793354648e-13,19.4387513531958,Down
PLCB3,0.655710731707332,9.41102835538752,7.55719390240557,1.83279428728179e-13,1.05014159163173e-12,19.3500654819313,NS
PRKCA,0.78104222222224,10.5341701323251,7.42696799056563,4.49446290045062e-13,2.5074371970935e-12,18.4682594273979,NS
SELE,-2.12923528455284,6.20999829867675,-7.40437199041102,5.24691044351797e-13,2.85216670263028e-12,18.3161608946353,Down
CYP2J2,-1.51791707317074,11.3761077504726,-7.36446005784221,6.8858896326497e-13,3.64952150530434e-12,18.0490583124248,Down
ARHGEF1,0.517807046070445,11.4086672967864,7.12460169569651,3.44157301862895e-12,1.77954507304717e-11,16.4690365529343,NS
TAB1,0.465514850948539,10.245584120983,7.002044915653,7.70628043997499e-12,3.88983679351118e-11,15.6781833594656,NS
POU2F1,0.538511327913275,9.37829678638941,6.88068267520561,1.69342291559775e-11,8.34896879317959e-11,14.9062738161336,NS
CALML6,1.49110944715447,4.19646635160681,6.7634095938956,3.58715400866623e-11,1.72835602235736e-10,14.1708426940149,Up
CCL2,-1.64806997289972,8.72462570888469,-6.71095612345419,5.00087351284545e-11,2.35596707716274e-10,13.845457450567,Down
APOA1,-2.30120433604336,17.5739848771267,-6.56783009080469,1.22511036196835e-10,5.64616079863675e-10,12.9684893605313,Down
CYP1A1,-3.34462373983739,7.87248563327032,-6.49965732002293,1.86698497764629e-10,8.42129394172368e-10,12.5564173503686,Down
CALM1,-0.446288888888867,12.9694896030246,-6.44704053853093,2.5775048761128e-10,1.13839798694982e-09,12.2410864638625,NS
DDIT3,0.852075230352314,10.247404536862,6.38126110391117,3.84786044598274e-10,1.66478860111906e-09,11.8494855081469,NS
STAT3,-0.659786449864491,12.9974669187146,-6.37182376313642,4.07339965861442e-10,1.72712145525251e-09,11.7938135246271,NS
PLCB1,1.29298850948511,8.58283175803403,6.29217233610431,6.58345665651223e-10,2.72178106585893e-09,11.3248884090423,Up
TRAF3,0.62873392953931,9.2165595463138,6.28980632405943,6.67606676531436e-10,2.72178106585893e-09,11.3112318323697,NS
CAMK2D,-0.560832520325173,10.4048374291115,-6.282040437528,6.99389907416312e-10,2.79755962966525e-09,11.2658167061693,NS
XBP1,-0.623745799458003,14.2750510396975,-6.26292364074522,7.84069298046457e-10,3.07819798492313e-09,11.1542269322261,NS
TANK,-0.505718265582631,10.2571304347826,-6.03537878335101,2.989702870034e-09,1.15239456081311e-08,9.84859705425495,NS
CASP7,-0.590743902439005,9.75614366729679,-5.95230179261662,4.8243836436073e-09,1.82637380793705e-08,9.38238334649595,NS
AKT1,-0.472450406504056,12.2555009451796,-5.90881682742687,6.18401383257734e-09,2.30001917983578e-08,9.14060485986654,NS
IKBKG,0.737806666666677,10.9994877126654,5.86446126330791,7.95481168272431e-09,2.9076208219613e-08,8.89549391486007,NS
RHOA,0.33541842818423,13.4942911153119,5.79982166847222,1.14464052870455e-08,4.11294562856552e-08,8.54142149164166,NS
TLR2,-1.29418590785908,7.85024574669187,-5.74525413863914,1.55258526240334e-08,5.4858012604918e-08,8.24500006531675,Down
IL6,-1.7367362601626,3.63865387523629,-5.55611627550736,4.38160760412864e-08,1.52278821651684e-07,7.23722902957934,Down
