ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0010743,regulation of macrophage derived foam cell differentiation,3/12,35/18842,0.0857142857142857,134.585714285714,19.9687883857523,1.27699728692612e-06,0.000682613095193234,0.000682613095193234,CD36/PPARG/ABCG1,3
GO:0010742,macrophage derived foam cell differentiation,3/12,39/18842,0.0769230769230769,120.782051282051,18.902877262649,1.78055778978153e-06,0.000871670624819549,0.000871670624819549,CD36/PPARG/ABCG1,3
GO:0090077,foam cell differentiation,3/12,41/18842,0.0731707317073171,114.890243902439,18.4291546496061,2.07540624957035e-06,0.000871670624819549,0.000871670624819549,CD36/PPARG/ABCG1,3
GO:0090199,regulation of release of cytochrome c from mitochondria,3/12,41/18842,0.0731707317073171,114.890243902439,18.4291546496061,2.07540624957035e-06,0.000871670624819549,0.000871670624819549,MMP9/PYCARD/BAX,3
GO:0071402,cellular response to lipoprotein particle stimulus,3/12,44/18842,0.0681818181818182,107.056818181818,17.7797867226794,2.57571522263154e-06,0.00100968036727157,0.00100968036727157,CD36/PPARG/ABCG1,3
GO:1905952,regulation of lipid localization,4/12,168/18842,0.0238095238095238,37.3849206349206,11.958448385178,2.85490865214407e-06,0.00104917892966294,0.00104917892966294,CD36/IKBKE/PPARG/ABCG1,4
GO:0043254,regulation of protein-containing complex assembly,5/12,404/18842,0.0123762376237624,19.4327557755776,9.45456352019349,3.09295840072933e-06,0.00106979972919344,0.00106979972919344,MMP1/CD36/IKBKE/PYCARD/BAX,5
GO:0031334,positive regulation of protein-containing complex assembly,4/12,188/18842,0.0212765957446809,33.4078014184397,11.2735305283257,4.46366644045883e-06,0.00145813103721655,0.00145813103721655,MMP1/CD36/PYCARD/BAX,4
GO:0001836,release of cytochrome c from mitochondria,3/12,54/18842,0.0555555555555556,87.2314814814815,16.0191655427102,4.80665257617325e-06,0.00148753248146835,0.00148753248146835,MMP9/PYCARD/BAX,3
GO:1904645,response to amyloid-beta,3/12,57/18842,0.0526315789473684,82.640350877193,15.5831097194849,5.66406171792953e-06,0.00166523414507128,0.00166523414507128,CD36/VCAM1/MMP9,3
GO:0071222,cellular response to lipopolysaccharide,4/12,210/18842,0.0190476190476191,29.9079365079365,10.6344354528292,6.920561135705e-06,0.0019377571179974,0.0019377571179974,CD36/LY96/MMP9/PYCARD,4
GO:0045088,regulation of innate immune response,5/12,482/18842,0.0103734439834025,16.2880359612725,8.58333996305022,7.3247426941537e-06,0.00195770395643744,0.00195770395643744,CD36/LY96/IKBKE/PPARG/PYCARD,5
GO:0071219,cellular response to molecule of bacterial origin,4/12,223/18842,0.0179372197309417,28.1644245142003,10.3013039626936,8.77574883923719e-06,0.00224353926846586,0.00224353926846586,CD36/LY96/MMP9/PYCARD,4
GO:0071216,cellular response to biotic stimulus,4/12,245/18842,0.0163265306122449,25.6353741496599,9.7980171875312,1.27209626088805e-05,0.00311663583917571,0.00311663583917571,CD36/LY96/MMP9/PYCARD,4
GO:0010887,negative regulation of cholesterol storage,2/12,11/18842,0.181818181818182,285.484848484849,23.8251821565906,2.03855460098145e-05,0.00461026963606573,0.00461026963606573,PPARG/ABCG1,2
GO:0071492,cellular response to UV-A,2/12,11/18842,0.181818181818182,285.484848484849,23.8251821565906,2.03855460098145e-05,0.00461026963606573,0.00461026963606573,MMP1/MMP9,2
GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,3/12,91/18842,0.032967032967033,51.7637362637363,12.2540457148755,2.32315308532058e-05,0.00505931116358705,0.00505931116358705,IKBKE/PYCARD/BAX,3
GO:0097193,intrinsic apoptotic signaling pathway,4/12,294/18842,0.0136054421768707,21.3628117913832,8.88342226950757,2.60462157183382e-05,0.00546970530085103,0.00546970530085103,IKBKE/MMP9/PYCARD/BAX,4
GO:0008637,apoptotic mitochondrial changes,3/12,99/18842,0.0303030303030303,47.5808080808081,11.7306614436833,2.99081633432818e-05,0.00606413794684472,0.00606413794684472,MMP9/PYCARD/BAX,3
GO:0010745,negative regulation of macrophage derived foam cell differentiation,2/12,14/18842,0.142857142857143,224.309523809524,21.1002016747229,3.36930212274066e-05,0.00639080531668229,0.00639080531668229,PPARG/ABCG1,2
GO:0070141,response to UV-A,2/12,14/18842,0.142857142857143,224.309523809524,21.1002016747229,3.36930212274066e-05,0.00639080531668229,0.00639080531668229,MMP1/MMP9,2
GO:2001233,regulation of apoptotic signaling pathway,4/12,317/18842,0.0126182965299685,19.8128286014721,8.52750650475958,3.49796574444455e-05,0.00642751205541687,0.00642751205541687,MMP9/PPARG/PYCARD/BAX,4
GO:0002218,activation of innate immune response,4/12,326/18842,0.0122699386503067,19.2658486707566,8.39832171286903,3.90244425944743e-05,0.00689810732994729,0.00689810732994729,CD36/LY96/IKBKE/PYCARD,4
GO:2001235,positive regulation of apoptotic signaling pathway,3/12,109/18842,0.0275229357798165,43.2155963302752,11.1583492030843,3.98870151731646e-05,0.00689810732994729,0.00689810732994729,PPARG/PYCARD/BAX,3
GO:0007005,mitochondrion organization,4/12,360/18842,0.0111111111111111,17.4462962962963,7.95357380526239,5.74603101336579e-05,0.00957237227218159,0.00957237227218159,MMP9/PPARG/PYCARD/BAX,4
GO:0030301,cholesterol transport,3/12,124/18842,0.0241935483870968,37.9879032258065,10.4317764478869,5.86063608500913e-05,0.00957237227218159,0.00957237227218159,CD36/PPARG/ABCG1,3
GO:0015918,sterol transport,3/12,129/18842,0.0232558139534884,36.515503875969,10.2178274581051,6.592977500453e-05,0.0104774885682875,0.0104774885682875,CD36/PPARG/ABCG1,3
GO:0045089,positive regulation of innate immune response,4/12,396/18842,0.0101010101010101,15.8602693602694,7.54467628022858,8.32201841018814e-05,0.0122313517416925,0.0122313517416925,CD36/LY96/IKBKE/PYCARD,4
GO:0010884,positive regulation of lipid storage,2/12,22/18842,0.0909090909090909,142.742424242424,16.7926340943532,8.52866362941141e-05,0.0122313517416925,0.0122313517416925,CD36/IKBKE,2
GO:0010888,negative regulation of lipid storage,2/12,22/18842,0.0909090909090909,142.742424242424,16.7926340943532,8.52866362941141e-05,0.0122313517416925,0.0122313517416925,PPARG/ABCG1,2
GO:0042953,lipoprotein transport,2/12,22/18842,0.0909090909090909,142.742424242424,16.7926340943532,8.52866362941141e-05,0.0122313517416925,0.0122313517416925,CD36/PPARG,2
GO:0051223,regulation of protein transport,4/12,401/18842,0.00997506234413965,15.6625103906899,7.49213722194224,8.73698046276491e-05,0.0122317726478709,0.0122317726478709,CD36/PIK3R2/PPARG/ABCG1,4
GO:0044872,lipoprotein localization,2/12,23/18842,0.0869565217391304,136.536231884058,16.4186895855552,9.33761225796444e-05,0.0127686418783328,0.0127686418783328,CD36/PPARG,2
GO:0002833,positive regulation of response to biotic stimulus,4/12,424/18842,0.00943396226415094,14.812893081761,7.26212603652887,0.000108434151986869,0.014490745765518,0.014490745765518,CD36/LY96/IKBKE/PYCARD,4
GO:1903131,mononuclear cell differentiation,4/12,439/18842,0.00911161731207289,14.3067577828398,7.12160097731466,0.000124030910108857,0.0161840473619801,0.0161840473619801,VCAM1/PIK3R2/MMP9/PPARG,4
GO:0070201,regulation of establishment of protein localization,4/12,443/18842,0.0090293453724605,14.1775771256584,7.08529207805813,0.000128452516146399,0.0161840473619801,0.0161840473619801,CD36/PIK3R2/PPARG/ABCG1,4
GO:0010875,positive regulation of cholesterol efflux,2/12,27/18842,0.0740740740740741,116.308641975309,15.1359284437714,0.000129362283335556,0.0161840473619801,0.0161840473619801,PPARG/ABCG1,2
GO:2001242,regulation of intrinsic apoptotic signaling pathway,3/12,167/18842,0.0179640718562874,28.2065868263473,8.91496062537417,0.000141858997957212,0.0173777272497584,0.0173777272497584,MMP9/PYCARD/BAX,3
GO:1903829,positive regulation of protein localization,4/12,457/18842,0.0087527352297593,13.7432530999271,6.96183986755476,0.000144837167405168,0.0173804600886201,0.0173804600886201,PIK3R2/PPARG/HSP90AB1/ABCG1,4
GO:0010876,lipid localization,4/12,468/18842,0.00854700854700855,13.4202279202279,6.86859760118142,0.000158740497361833,0.0186678824897516,0.0186678824897516,CD36/IKBKE/PPARG/ABCG1,4
GO:0044089,positive regulation of cellular component biogenesis,4/12,475/18842,0.00842105263157895,13.2224561403509,6.81088609331382,0.000168079113213886,0.0193785330528951,0.0193785330528951,MMP1/CD36/PYCARD/BAX,4
GO:0031664,regulation of lipopolysaccharide-mediated signaling pathway,2/12,32/18842,0.0625,98.1354166666667,13.8827542723978,0.000182479381498664,0.0206342069848489,0.0206342069848489,CD36/LY96,2
GO:0001959,regulation of cytokine-mediated signaling pathway,3/12,184/18842,0.016304347826087,25.6005434782609,8.46522501515829,0.000188901132966024,0.0209573332422683,0.0209573332422683,IKBKE/PPARG/PYCARD,3
GO:0001819,positive regulation of cytokine production,4/12,499/18842,0.00801603206412826,12.5865063460254,6.62193679851088,0.000203148501564925,0.0221206146148474,0.0221206146148474,CD36/LY96/IKBKE/PYCARD,4
GO:0032373,positive regulation of sterol transport,2/12,35/18842,0.0571428571428571,89.7238095238095,13.2626979361686,0.000218669412800284,0.0225574762678188,0.0225574762678188,PPARG/ABCG1,2
GO:0032376,positive regulation of cholesterol transport,2/12,35/18842,0.0571428571428571,89.7238095238095,13.2626979361686,0.000218669412800284,0.0225574762678188,0.0225574762678188,PPARG/ABCG1,2
GO:0045429,positive regulation of nitric oxide biosynthetic process,2/12,35/18842,0.0571428571428571,89.7238095238095,13.2626979361686,0.000218669412800284,0.0225574762678188,0.0225574762678188,CD36/HSP90AB1,2
GO:0060759,regulation of response to cytokine stimulus,3/12,196/18842,0.0153061224489796,24.0331632653061,8.18288069981705,0.00022756878438026,0.0230665824828875,0.0230665824828875,IKBKE/PPARG/PYCARD,3
GO:0071404,cellular response to low-density lipoprotein particle stimulus,2/12,36/18842,0.0555555555555556,87.2314814814815,13.0733328864122,0.000231450402464348,0.0230665824828875,0.0230665824828875,CD36/PPARG,2
GO:0055094,response to lipoprotein particle,2/12,37/18842,0.0540540540540541,84.8738738738739,12.8916448635901,0.000244589572853929,0.023969778139685,0.023969778139685,CD36/PPARG,2
GO:0030574,collagen catabolic process,2/12,43/18842,0.0465116279069768,73.031007751938,11.9372360686006,0.000330924854450838,0.0318989859700152,0.0318989859700152,MMP1/MMP9,2
GO:0043123,positive regulation of canonical NF-kappaB signal transduction,3/12,226/18842,0.0132743362831858,20.8429203539823,7.57589699933209,0.000345837859276022,0.0327988163313389,0.0327988163313389,CD36/IKBKE/PYCARD,3
GO:1904646,cellular response to amyloid-beta,2/12,46/18842,0.0434782608695652,68.268115942029,11.5311573795561,0.000378896819060742,0.0353637031123359,0.0353637031123359,CD36/VCAM1,2
GO:0051222,positive regulation of protein transport,3/12,237/18842,0.0126582278481013,19.8755274261603,7.38203107924005,0.000397505077308317,0.0365207789777016,0.0365207789777016,PIK3R2/PPARG/ABCG1,3
GO:0042306,regulation of protein import into nucleus,2/12,52/18842,0.0384615384615385,60.3910256410256,10.826212439486,0.000484397730870204,0.0431554342047999,0.0431554342047999,CD36/PIK3R2,2
GO:0044546,NLRP3 inflammasome complex assembly,2/12,52/18842,0.0384615384615385,60.3910256410256,10.826212439486,0.000484397730870204,0.0431554342047999,0.0431554342047999,CD36/PYCARD,2
GO:0009636,response to toxic substance,3/12,256/18842,0.01171875,18.400390625,7.07625462929094,0.000498033098434161,0.0437079793849681,0.0437079793849681,CD36/ABCG1/BAX,3
GO:0140632,canonical inflammasome complex assembly,2/12,54/18842,0.037037037037037,58.1543209876543,10.617520581263,0.000522385208421217,0.0451709562575993,0.0451709562575993,CD36/PYCARD,2
GO:0045428,regulation of nitric oxide biosynthetic process,2/12,56/18842,0.0357142857142857,56.077380952381,10.4199964917772,0.000561777864282803,0.0478161868882528,0.0478161868882528,CD36/HSP90AB1,2
GO:1904951,positive regulation of establishment of protein localization,3/12,268/18842,0.0111940298507463,17.5764925373134,6.89961339492726,0.000569240320098247,0.0478161868882528,0.0478161868882528,PIK3R2/PPARG/ABCG1,3
GO:0010874,regulation of cholesterol efflux,2/12,57/18842,0.0350877192982456,55.093567251462,10.3251147813642,0.000582000184376071,0.0481994518891732,0.0481994518891732,PPARG/ABCG1,2
GO:0031663,lipopolysaccharide-mediated signaling pathway,2/12,58/18842,0.0344827586206897,54.1436781609195,10.2326708396176,0.000602572659951011,0.0487507092384922,0.0487507092384922,CD36/LY96,2
GO:0015850,organic hydroxy compound transport,3/12,275/18842,0.0109090909090909,17.1290909090909,6.80178352330582,0.000613647722772715,0.0487507092384922,0.0487507092384922,CD36/PPARG/ABCG1,3
GO:0141084,inflammasome-mediated signaling pathway,2/12,59/18842,0.0338983050847458,53.225988700565,10.1425611510971,0.000623494911880375,0.0487507092384922,0.0487507092384922,CD36/PYCARD,2
GO:0030198,extracellular matrix organization,3/12,278/18842,0.0107913669064748,16.9442446043166,6.76095436016804,0.000633341075476129,0.0487507092384922,0.0487507092384922,MMP1/MMP9/PPARG,3
GO:0043062,extracellular structure organization,3/12,279/18842,0.010752688172043,16.8835125448029,6.74748623822151,0.000639994682960161,0.0487507092384922,0.0487507092384922,MMP1/MMP9/PPARG,3
GO:0080164,regulation of nitric oxide metabolic process,2/12,60/18842,0.0333333333333333,52.3388888888889,10.0546882587015,0.000644766561310919,0.0487507092384922,0.0487507092384922,CD36/HSP90AB1,2
GO:0045229,external encapsulating structure organization,3/12,280/18842,0.0107142857142857,16.8232142857143,6.73408786778224,0.0006466930817351,0.0487507092384922,0.0487507092384922,MMP1/MMP9/PPARG,3
